arm,seed,delta_aff_plateau,delta_aff_per_contact,delta_aff_per_cross_contact,toward_other_camp,toward_mean,toward_own_pole,delta_k,delta_bic_margin,ideo_level_toward_other_camp,ideo_level_toward_mean,ideo_level_toward_own_pole,swept_dial,level,affective,ideological,structural
exposure,2,0.000403910751917369,8.202899104739419e-9,9.221706664780114e-9,-0.0018699631768742293,-0.0018786141442326335,0.0018057654930858577,0.0,-0.00001779563557082614,-0.011493398827476436,-0.011223435170582274,0.011368387029501019,ideological,0.9,0.5,0.9,0.5
engagement,2,0.002236954693194515,4.1222789886566205e-8,4.6036399604752217e-8,-0.0018167564533590232,-0.0017996055647768374,0.001748125362120604,0.0,-0.00006323736555732123,-0.011493398827476436,-0.011223435170582274,0.011368387029501019,ideological,0.9,0.5,0.9,0.5
composition,2,-0.015099404567852082,-2.7800719105650733e-7,-3.103935486546084e-7,-0.001688189203209376,-0.0016926083230895412,0.0015874096796092765,0.0,-0.000027011188381491358,-0.011493398827476436,-0.011223435170582274,0.011368387029501019,ideological,0.9,0.5,0.9,0.5
exposure,3,0.00018542871132931626,3.794947225437278e-9,4.276393794638414e-9,-0.0012199971355158438,-0.0011065720043563088,0.0012459332963367202,0.0,0.000014472950536442708,-0.009234724920332631,-0.009042629874384606,0.009132722994636218,ideological,0.9,0.5,0.9,0.5
engagement,3,0.0020311991817446584,3.823721657620637e-8,4.279542341918249e-8,-0.002570045074897491,-0.002476102010321222,0.002523196093807828,0.0,-0.00003699050178421204,-0.009234724920332631,-0.009042629874384606,0.009132722994636218,ideological,0.9,0.5,0.9,0.5
composition,3,-0.015043614702992425,-2.8347273743602526e-7,-3.165011193324867e-7,-0.0018954077522657393,-0.0017815513320306314,0.0018743633424845394,0.0,0.0000563953764213046,-0.009234724920332631,-0.009042629874384606,0.009132722994636218,ideological,0.9,0.5,0.9,0.5
exposure,4,0.0006425783772685545,1.2547908167712449e-8,1.4057412379264389e-8,-0.0005705903501197745,-0.0005561683306825101,0.0005685299558014102,0.0,0.0000572942875121385,-0.01039598856507979,-0.01020255883333089,0.010229507655737062,ideological,0.9,0.5,0.9,0.5
engagement,4,0.0022061734837408586,3.9350280633922384e-8,4.375852358809248e-8,-0.0009348124108964715,-0.000870230167332774,0.0009608208772421949,0.0,0.00014993584017113093,-0.01039598856507979,-0.01020255883333089,0.010229507655737062,ideological,0.9,0.5,0.9,0.5
composition,4,-0.01529482257743997,-2.7293662474463703e-7,-3.037881617065559e-7,-0.002292593703224436,-0.0022561255676999317,0.002238612506731656,0.0,0.0000636996153148342,-0.01039598856507979,-0.01020255883333089,0.010229507655737062,ideological,0.9,0.5,0.9,0.5
exposure,0,-0.00026911219858494206,-5.5197973209365806e-9,-6.362140915504907e-9,0.0007742025944924404,0.0007472377375238666,-0.0007080080688812163,0.0,-0.000011012874853784382,-0.00495194216429266,-0.0044347533725289465,0.004813122629802883,structural,0.1,0.5,0.5,0.1
engagement,0,0.0019530485010698095,3.469125903353244e-8,3.914238618466028e-8,-0.0002417498131648656,-0.00027321845094510806,0.00020631501234384762,0.0,0.0000674091302890617,-0.00495194216429266,-0.0044347533725289465,0.004813122629802883,structural,0.1,0.5,0.5,0.1
composition,0,-0.013378154752083704,-2.3818107734090058e-7,-2.6927568842002544e-7,-0.0003890607191852826,-0.0003246075467279747,0.0004332094328069608,0.0,0.00004259747501665634,-0.00495194216429266,-0.0044347533725289465,0.004813122629802883,structural,0.1,0.5,0.5,0.1
exposure,1,-0.00008566561613054802,-1.7341217840191906e-9,-2.008007503880456e-9,0.000028459111807285428,-0.000018278208443719794,-0.00004907553768322779,0.0,-0.001177341822594588,-0.00437547460660136,-0.003646415598301949,0.004475170110208749,structural,0.1,0.5,0.5,0.1
engagement,1,0.001929645260861701,3.4285909291975997e-8,3.896856215642193e-8,-0.0008933532980739609,-0.0009256076069968375,0.0008572705327901083,0.0,-0.00017708023899749153,-0.00437547460660136,-0.003646415598301949,0.004475170110208749,structural,0.1,0.5,0.5,0.1
composition,1,-0.013876151676885051,-2.4829832113957326e-7,-2.813607947784795e-7,-0.0013891126248840643,-0.0013500089749743024,0.0013373705980730096,0.0,-0.00010738143834448238,-0.00437547460660136,-0.003646415598301949,0.004475170110208749,structural,0.1,0.5,0.5,0.1
exposure,2,0.00016989254864974157,3.4749958815655873e-9,4.003217527503984e-9,-0.00029857572601121787,-0.00027984115191546574,0.00031188184821449774,0.0,0.00011091905207537278,-0.0051547011872630265,-0.00483567679835649,0.004967199969847346,structural,0.1,0.5,0.5,0.1
engagement,2,0.002369479733860924,4.2470644617607214e-8,4.803031913447234e-8,-0.0015712528160231817,-0.0015628732252122813,0.001515146044206223,0.0,0.00015749213371862858,-0.0051547011872630265,-0.00483567679835649,0.004967199969847346,structural,0.1,0.5,0.5,0.1
composition,2,-0.013327453612958617,-2.385824387848162e-7,-2.695028232014604e-7,-0.0009519387722636439,-0.000936963976056456,0.0009593184019009594,0.0,0.004353219090544841,-0.0051547011872630265,-0.00483567679835649,0.004967199969847346,structural,0.1,0.5,0.5,0.1
exposure,3,0.00030913351038974746,6.4712897297414164e-9,7.490513942082565e-9,-0.00039545861065970467,-0.000421939527944528,0.00025251094633856616,0.0,0.0012894109933680592,-0.0037644534586317845,-0.0035826100477576468,0.0036941303258342484,structural,0.1,0.5,0.5,0.1
engagement,3,0.0020023654207541597,3.6832562371314835e-8,4.1953683807286285e-8,-0.00029941865430515094,-0.0002729222415836013,0.0003018654159275343,0.0,0.0012441889332725359,-0.0037644534586317845,-0.0035826100477576468,0.0036941303258342484,structural,0.1,0.5,0.5,0.1
composition,3,-0.012929844444309557,-2.3745398597497902e-7,-2.716810481658589e-7,-0.0007303110459351602,-0.0007011192064958318,0.0007050383175040407,0.0,0.0012981626819838221,-0.0037644534586317845,-0.0035826100477576468,0.0036941303258342484,structural,0.1,0.5,0.5,0.1
